[1/4] Creating LuaState...
[2/4] Opening standard library...
[3/4] Loading source (parse + compile)...
[cg_emit_eq] e1=NonReloc info=26 e2=NonReloc info=27 r1=26 r2=27 freereg=28 nactvar=25 line=361
[cg_emit_eq] e1=NonReloc info=26 e2=NonReloc info=27 r1=26 r2=27 freereg=28 nactvar=25 line=362
[cg_emit_eq] e1=NonReloc info=26 e2=NonReloc info=27 r1=26 r2=27 freereg=28 nactvar=25 line=363
[cg_emit_eq] e1=NonReloc info=26 e2=NonReloc info=27 r1=26 r2=27 freereg=28 nactvar=25 line=364
[cg_emit_eq] e1=NonReloc info=26 e2=KInt info=0 r1=26 r2=128 freereg=27 nactvar=25 line=366
[cg_emit_eq] e1=NonReloc info=26 e2=KInt info=0 r1=26 r2=128 freereg=27 nactvar=25 line=367
[cg_emit_eq] e1=NonReloc info=26 e2=KInt info=0 r1=26 r2=129 freereg=27 nactvar=25 line=368
[cg_emit_eq] e1=NonReloc info=26 e2=KInt info=0 r1=26 r2=130 freereg=27 nactvar=25 line=369
[cg_emit_eq] e1=NonReloc info=26 e2=KInt info=0 r1=26 r2=131 freereg=27 nactvar=25 line=370
[cg_emit_eq] e1=NonReloc info=25 e2=KInt info=0 r1=25 r2=129 freereg=28 nactvar=27 line=375
[cg_emit_eq] e1=NonReloc info=26 e2=KInt info=0 r1=26 r2=132 freereg=28 nactvar=27 line=375
[cg_emit_eq] e1=NonReloc info=27 e2=NonReloc info=29 r1=27 r2=29 freereg=30 nactvar=28 line=377
[cg_emit_eq] e1=NonReloc info=37 e2=NonReloc info=33 r1=37 r2=33 freereg=38 nactvar=34 line=381
[cg_emit_eq] e1=NonReloc info=30 e2=KInt info=0 r1=30 r2=127 freereg=31 nactvar=29 line=383
[cg_emit_eq] e1=NonReloc info=31 e2=NonReloc info=32 r1=31 r2=32 freereg=33 nactvar=30 line=406
[cg_emit_eq] e1=NonReloc info=31 e2=NonReloc info=32 r1=31 r2=32 freereg=33 nactvar=30 line=407
[cg_emit_eq] e1=NonReloc info=31 e2=KInt info=0 r1=31 r2=129 freereg=32 nactvar=30 line=408
[cg_emit_eq] e1=NonReloc info=31 e2=KInt info=0 r1=31 r2=131 freereg=32 nactvar=30 line=409
[cg_emit_eq] e1=NonReloc info=31 e2=NonReloc info=32 r1=31 r2=32 freereg=33 nactvar=30 line=410
[cg_emit_eq] e1=NonReloc info=31 e2=NonReloc info=32 r1=31 r2=32 freereg=33 nactvar=30 line=411
[cg_emit_eq] e1=NonReloc info=31 e2=NonReloc info=32 r1=31 r2=32 freereg=33 nactvar=30 line=412
[cg_emit_eq] e1=NonReloc info=31 e2=KInt info=0 r1=31 r2=131 freereg=32 nactvar=30 line=415
[cg_emit_eq] e1=NonReloc info=31 e2=KInt info=0 r1=31 r2=131 freereg=32 nactvar=30 line=416
[cg_emit_eq] e1=NonReloc info=34 e2=NonReloc info=36 r1=34 r2=36 freereg=37 nactvar=32 line=422

thread 'main' (9900935) panicked at crates/lua-parse/src/lib.rs:629:9:
assertion `left == right` failed
  left: 34
 right: 35
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
[panic] assertion `left == right` failed
  left: 34
 right: 35
